JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
Sale Consultant,Cogetel Limited (ONLINE),Telecommunication,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#60, Monivong BLvd, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 25
Senior Internal Auditor (Urgently),SAHAKA Microfinance Institution Plc,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Top Management,Senior Executive,,,Phnom Penh,"No.36D, St. 454, Toul Tompoung 1, Chamkarmon, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,20 - 45
Technical Support Officer,Cogetel Limited (ONLINE),Telecommunication,Negotiable,Full Time,Tech and Helpdesk Support,Junior Executive,,,Svay Rieng,"#60, Monivong BLvd, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
QA,"LIM LINE INTERNATIONAL  (CAMBODIA) GARMENT CO., LTD",Clothing / Garment / Textile,Negotiable,Full Time,Quality Control/Assurance,Junior Executive,,,Phnom Penh,"Tuol Sangke District , Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 40
销售人員,CityPark Development PLC,Property / Real Estate,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"2nd Floor, No.281, Notodom Blvd., Phnom Penh, Cambodia., Phnom Penh",< 2 years,Associate Degree,20 - 30
经理助理,CityPark Development PLC,Property / Real Estate,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"2nd Floor, No.281, Notodom Blvd., Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 30
财务,CityPark Development PLC,Property / Real Estate,Negotiable,Full Time,Banking/Financial,Non-Executive,,,Phnom Penh,"2nd Floor, No.281, Notodom Blvd., Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 35
HR Trainee,Cogetel Limited (ONLINE),Telecommunication,Negotiable,Full Time,Human Resource,Non-Executive,,,Phnom Penh,"#60, Monivong BLvd, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 25
Technical Support Team Leader,Cogetel Limited (ONLINE),Telecommunication,Negotiable,Full Time,Tech and Helpdesk Support,Senior Executive,,,Phnom Penh,"#60, Monivong BLvd, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,20 - 35
Designer (Graphic / Web / Movie / Signage / Interior),"OSFCP CO., LTD.",Information Technology / Digital,$201 - $500 USD,Full Time,IT-Software,Non-Executive,,,Phnom Penh,"#26, Street 294, Sangkat Tonle Basak, Khan Daun Penh Phnom Pen, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,22 - 30
Sales Manager,ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Admin,ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",< 2 years,Bachelor's Degree,20 - 30
Enterprise Sales,ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Business Sales (02 person),ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Web Developer (02Pax),ICE Electronics,Electrical and Electronics,Negotiable,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Production Planning (1 Position),"Marunix(Cambodia)Co., Ltd",General Business,Negotiable,Full Time,Manufacturing,Junior Executive,,,Phnom Penh,"PPSEZ, Pleung Chheh Rotes Commune, Dangko district, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Graphic Designer,"Nulo Lab Co.,Ltd",Information Technology / Digital,$201 - $500 USD,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"ផ្ទះលេខ WA127 ផ្លូវលេខ៣ សង្កាត់ទួលសង្កែ ខ័ណ្ឌឬស្សីកែវ រាជធានីភ្នំពេញ, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Front-end Web Developer,"Nulo Lab Co.,Ltd",Information Technology / Digital,Negotiable,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"ផ្ទះលេខ WA127 ផ្លូវលេខ៣ សង្កាត់ទួលសង្កែ ខ័ណ្ឌឬស្សីកែវ រាជធានីភ្នំពេញ, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale Consultant (Poipet),Cogetel Limited (ONLINE),Telecommunication,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Poipet,"#60, Monivong BLvd, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 25
Service Coordinator,ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sales Supervisor (2 Pax),ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Showroom,ICE Electronics,Electrical and Electronics,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#293-295, PREAH SIHANOUK BLVD., VEAL VONG, 7 MAKARA, PHNOM PENH, CAMBODIA, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Cafe Baristas (2 Positions),Lyla Sports & Recreation Center,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
STATION HEAD  SIEM REAP  (CAMBODIA),Malaysia Airlines,Aerospace / Aviation,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"No.35-37, St 214 (Samdech Pan), Phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Finance Officer ($300 - $400),ODI ASIA,General Business,Negotiable,Full Time,Banking/Financial,Non-Executive,,,Phnom Penh,"No. 33-34, St. 114, Bayon Building, 4th Floor, Room: 406, Sangkat Monorom, Khan 7 Makara, 12251 Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Internship Student / Freelancer,Phnom Penh Securities Plc.,General Business,Negotiable,Full Time,Banking/Financial,Non-Executive,,,Phnom Penh,"Monivong Bld, 32, Daun Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Securities and Investment Representative,Phnom Penh Securities Plc.,General Business,Negotiable,Full Time,Corporation Finance/Investment,Non-Executive,,,Phnom Penh,"Monivong Bld, 32, Daun Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Associate Degree,18 - 50
Associate Corporate Finance,Phnom Penh Securities Plc.,General Business,Negotiable,Full Time,Corporation Finance/Investment,Junior Executive,,,Phnom Penh,"Monivong Bld, 32, Daun Penh, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Service (Full-time / Part time),"L.A.B Leisure Co.,Ltd",Food and Berverage,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"N23 st288 sangkat BKKI khan Chamkamorn, Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
បុគ្គលិកស្ប៉ា (1នាក់),Lyla Sports & Recreation Center,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,High School or equivalent,18 - 50
Part-time Cashiers (Afternoon 2:00 - 8:30 pm),Natural Garden,Food and Berverage,Negotiable,Part Time,Customer Service,Junior Executive,,,Phnom Penh,"#213-BC, Street 63, Boeung Keng Kang I, Chamkar Morn, Phnom Penh, Phnom Penh",< 2 years,High School or equivalent,18 - 35
អ្នកឆែកសំបុត្រ (1នាក់),Lyla Sports & Recreation Center,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
អាងទឹក (2 Positions),Lyla Sports & Recreation Center,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,High School or equivalent,18 - 50
Cashier (2 Position),Lyla Sports & Recreation Center,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Production Team Leader (5 Posts),"Denso (Cambodia)  Co., Ltd.",Automotive / Vehicle,Negotiable,Full Time,Manufacturing,Junior Executive,,,Phnom Penh,"Lot P1-A3-1, Phnom Penh Special Economic Zone(PPSEZ), National Date: 02/06/2016  Road No.4, Khan Posenchey, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,20 - 30
Marketing Specialist (Urgent),"WiCAM Corporation, Ltd",Telecommunication,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"#113, St 271, Sangkat Boeung Salang, Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Marketing Assistant (Urgent),"WiCAM Corporation, Ltd",Telecommunication,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"#113, St 271, Sangkat Boeung Salang, Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
IT Officer,Moon Julie Hotel,Hotel / Resort / Travel,Negotiable,Full Time,IT-Software,Junior Executive,,,Preah Sihanouk,"Ochheuteal No 23 tola street Sangkat 4 Preah Sihanouk city, Preah Sihanouk Province, Preah Sihanouk",No preference,Bachelor's Degree,18 - 50
Sous Chef,Moon Julie Hotel,Hotel / Resort / Travel,Negotiable,Full Time,Food/Beverage/Restaurant,Junior Executive,,,Preah Sihanouk,"Ochheuteal No 23 tola street Sangkat 4 Preah Sihanouk city, Preah Sihanouk Province, Preah Sihanouk",5-8 years,High School or equivalent,18 - 50
Cashier (01 person),Moon Julie Hotel,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Preah Sihanouk,"Ochheuteal No 23 tola street Sangkat 4 Preah Sihanouk city, Preah Sihanouk Province, Preah Sihanouk",No preference,Bachelor's Degree,18 - 50
Sale 200$-500$,"Shinih (Cambodia) Co.,Ltd",Manufacturing / Production,$201 - $500 USD,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"P2-099 PPSEZ 18km,  National Road No 4,Khan Posenchey,  Phnom Penh, Cambodia., Phnom Penh",< 2 years,Associate Degree,18 - 30
Warehouse Control Officer (1 Post),"Denso (Cambodia)  Co., Ltd.",Automotive / Vehicle,Negotiable,Full Time,Logistics/Supply Chain,Junior Executive,,,Phnom Penh,"Lot P1-A3-1, Phnom Penh Special Economic Zone(PPSEZ), National Date: 02/06/2016  Road No.4, Khan Posenchey, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,20 - 30
Maintenance Officer (3 posts),"Denso (Cambodia)  Co., Ltd.",Automotive / Vehicle,Negotiable,Full Time,Merchandising,Junior Executive,,,Phnom Penh,"Lot P1-A3-1, Phnom Penh Special Economic Zone(PPSEZ), National Date: 02/06/2016  Road No.4, Khan Posenchey, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,20 - 30
Total Industry Engineering Officer (2 Posts),"Denso (Cambodia)  Co., Ltd.",Automotive / Vehicle,Negotiable,Full Time,Industrial Engineering,Junior Executive,,,Phnom Penh,"Lot P1-A3-1, Phnom Penh Special Economic Zone(PPSEZ), National Date: 02/06/2016  Road No.4, Khan Posenchey, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,20 - 30
Production Engineer Officer (3 Posts),"Denso (Cambodia)  Co., Ltd.",Automotive / Vehicle,Negotiable,Full Time,Other Engineering,Junior Executive,,,Phnom Penh,"Lot P1-A3-1, Phnom Penh Special Economic Zone(PPSEZ), National Date: 02/06/2016  Road No.4, Khan Posenchey, Phnom Penh, Cambodia, Phnom Penh",No preference,Bachelor's Degree,20 - 30
E Commerce Product Management Staff,Mylekha Social Media Group,Information Technology / Digital,Negotiable,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"Pnhom penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 30
Civil engineer - Project Manager Assistant,Ateliers de la Peninsule / Peninsula Engineering,Engineering,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"4 Quay Fa Ngum, PO Box 9027, Vientiane, Lao PDR, Phnom Penh",2-5 years,Bachelor's Degree,25 - 35
Sale Staffs  (Urgently),"Green Lake Co., Ltd.",Manufacturing / Production,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"Splot 189, St Somdach Chea Sim, Sangkat PhnomPenhthmey, khan Sen Sok, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 40
Marketing Staffs (Urgently),"Green Lake Co., Ltd.",Manufacturing / Production,Negotiable,Full Time,Marketing/Business Development,Non-Executive,,,Phnom Penh,"Splot 189, St Somdach Chea Sim, Sangkat PhnomPenhthmey, khan Sen Sok, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,20 - 35
Management Staffs  (Urgently),"Green Lake Co., Ltd.",Manufacturing / Production,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"Splot 189, St Somdach Chea Sim, Sangkat PhnomPenhthmey, khan Sen Sok, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 45
Sale Executive (Urgent),"WiCAM Corporation, Ltd",Telecommunication,Negotiable,Full Time,Sales-Corporate,Junior Executive,,,Phnom Penh,"#113, St 271, Sangkat Boeung Salang, Khan Toul Kork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
FB Manager,DYVITH HOTEL,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#99, St.1011, Sangkat Phnom Penh Thmey, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
SALES SUPPORTING ASSISTANT,CAMBREW LTD,Food and Berverage,Negotiable,Full Time,Secretarial,Non-Executive,,,Phnom Penh,"#1881, Russian Blvd, Phum Ta Ngoun, Sangkat Kakap, Khan Posenchey, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
HR Manager,DYVITH HOTEL,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#99, St.1011, Sangkat Phnom Penh Thmey, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
BRAND MARKETING EXECUTIVE,CAMBREW LTD,Food and Berverage,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"#1881, Russian Blvd, Phum Ta Ngoun, Sangkat Kakap, Khan Posenchey, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
SALES COORDINATOR,CAMBREW LTD,Food and Berverage,Negotiable,Full Time,Sales-Corporate,Non-Executive,,,Phnom Penh,"#1881, Russian Blvd, Phum Ta Ngoun, Sangkat Kakap, Khan Posenchey, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Waiter ( have experience and can speak English),DYVITH HOTEL,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"#99, St.1011, Sangkat Phnom Penh Thmey, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,High School or equivalent,18 - 50
Commis I,DYVITH HOTEL,Hotel / Resort / Travel,Negotiable,Full Time,Food/Beverage/Restaurant,Junior Executive,,,Phnom Penh,"#99, St.1011, Sangkat Phnom Penh Thmey, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,High School or equivalent,18 - 50
Waitress ( have experience and can speak English),DYVITH HOTEL,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"#99, St.1011, Sangkat Phnom Penh Thmey, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,High School or equivalent,18 - 50
Head of Administrator (Urgently),"Green Lake Co., Ltd.",Manufacturing / Production,Negotiable,Full Time,Top Management,Senior Manager,,,Phnom Penh,"Splot 189, St Somdach Chea Sim, Sangkat PhnomPenhthmey, khan Sen Sok, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,20 - 45
MERCHANDIZER,CAMBREW LTD,Food and Berverage,Negotiable,Full Time,Merchandising,Non-Executive,,,Kandal,"#1881, Russian Blvd, Phum Ta Ngoun, Sangkat Kakap, Khan Posenchey, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
"Senior Specialist, Agency Administration",Manulife(Cambodia) PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"104 Russian Federation Blvd | Phnom Penh, Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
LAB TECHNICIANS,Institut Pasteur du Cambodge,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Electronics Engineering,Junior Executive,,,Phnom Penh,"#5, Monivong Blvd, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Sales & Marketing 1 position,LUCKY WORLD TRAVEL & TOURS1,Tourism,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
